17:52:48.730 	MUTE11_02.rpgle	328	EXPR	$BRACK > 0	true
17:52:48.730 	MUTE11_02.rpgle	329	EXPR	$BRACK - $ATTRI	15
17:52:48.730 	MUTE11_02.rpgle	330	EXPR	%SUBST(ADDRSK : $ATTRI : $ATTLEN)	txt;pdf;jpg;doc
17:52:48.731 	MUTE11_02.rpgle	334	EXPR	ScanExpr	61
17:52:48.731 	MUTE11_02.rpgle	335	EXPR	$ATTRI > 0	true
17:52:48.731 	MUTE11_02.rpgle	336	EXPR	$ATTRI + 10	71
17:52:48.731 	MUTE11_02.rpgle	337	EXPR	ScanExpr	75
17:52:48.732 	MUTE11_02.rpgle	338	EXPR	$BRACK > 0	true
17:52:48.732 	MUTE11_02.rpgle	339	EXPR	$BRACK - $ATTRI	4
17:52:48.732 	MUTE11_02.rpgle	340	EXPR	%SUBST(ADDRSK : $ATTRI : $ATTLEN)	true
17:52:48.732 	MUTE11_02.rpgle	344	EXPR	ScanExpr	77
17:52:48.732 	MUTE11_02.rpgle	345	EXPR	$ATTRI > 0	true
17:52:48.732 	MUTE11_02.rpgle	346	EXPR	$ATTRI + 6	83
17:52:48.733 	MUTE11_02.rpgle	347	EXPR	ScanExpr	88
17:52:48.733 	MUTE11_02.rpgle	348	EXPR	$BRACK > 0	true
17:52:48.733 	MUTE11_02.rpgle	349	EXPR	$BRACK - $ATTRI	5
17:52:48.733 	MUTE11_02.rpgle	350	EXPR	%SUBST(ADDRSK : $ATTRI : $ATTLEN)	C;M;D
17:52:48.733 	MUTE11_02.rpgle	354	PERF	SUBROUTINE END	CARVAR_INZ	11	ms
17:52:48.734 	MUTE11_02.rpgle	165	EXPR	ADDRSK <> ""	true
17:52:48.735 	MUTE11_02.rpgle	166	EXPR	HiValExpr	Nope
